"run","case","counter","samples","mean","p50","p95","min","max","first","last"
"native-v2","profile-small60","GC Reserved Memory","721","5947392.0000","5947392.0000","5947392.0000","5947392.0000","5947392.0000","5947392.0000","5947392.0000"
"native-v2","profile-small60","Total Used Memory","721","96225537.6990","96230675.0000","96230675.0000","95304784.0000","96230675.0000","95304979.0000","96230675.0000"
"native-v2","profile-small60","Total Reserved Memory","721","201165253.0000","201165253.0000","201165253.0000","201165253.0000","201165253.0000","201165253.0000","201165253.0000"
"native-v2","profile-small60","Gfx Used Memory","721","16165317.0000","16165317.0000","16165317.0000","16165317.0000","16165317.0000","16165317.0000","16165317.0000"
"native-v2","profile-small60","Render Textures Bytes","721","9220440.0000","9220440.0000","9220440.0000","9220440.0000","9220440.0000","9220440.0000","9220440.0000"
"native-v2","profile-small60","Render Textures Count","721","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"native-v2","profile-small60","Draw Calls Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-small60","SetPass Calls Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-small60","Batches Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-small60","Gfx.UpdateAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small60","Gfx.RequestAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small60","VFX.ParticleSystem.BatchReadbackCount","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small60","VFX.ParticleSystem.BatchReadbackBounds","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small60","Terrain.ReadbackHeightmap","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small60","ClothScene.ReadbackJob","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small60","Gfx.ReadbackImage","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small60","GC.Collect","721","162533.8419","157800.0000","212400.0000","82900.0000","1599600.0000","1599600.0000","219100.0000"
"native-v2","profile-small60","Main Thread","721","16647320.6657","16664600.0000","16670400.0000","0.0000","17976900.0000","0.0000","16664800.0000"
"native-v2","profile-small60","Graphics.Blit","721","46203.3287","46100.0000","59000.0000","0.0000","94200.0000","0.0000","47700.0000"
"native-v2","profile-small60","EarlyUpdate.UpdateAsyncReadbackManager","721","91514.2857","86200.0000","129500.0000","0.0000","233700.0000","0.0000","85500.0000"
"udon-v2","profile-1080-small60","GC Allocated In Frame","720","10779.5764","24.0000","5379.0000","24.0000","3974255.0000","3974255.0000","24.0000"
"udon-v2","profile-1080-small60","GC Used Memory","720","806903654.4000","806744064.0000","809771008.0000","804380672.0000","810045440.0000","804380672.0000","810045440.0000"
"udon-v2","profile-1080-small60","GC Reserved Memory","720","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000"
"udon-v2","profile-1080-small60","Total Used Memory","720","1202017597.0639","1201858007.0000","1204884951.0000","1199494615.0000","1205159383.0000","1199494615.0000","1205159383.0000"
"udon-v2","profile-1080-small60","Total Reserved Memory","720","2248276975.0000","2248276975.0000","2248276975.0000","2248276975.0000","2248276975.0000","2248276975.0000","2248276975.0000"
"udon-v2","profile-1080-small60","Gfx Used Memory","720","101215215.0000","101215215.0000","101215215.0000","101215215.0000","101215215.0000","101215215.0000","101215215.0000"
"udon-v2","profile-1080-small60","Render Textures Bytes","720","75575640.0000","75575640.0000","75575640.0000","75575640.0000","75575640.0000","75575640.0000","75575640.0000"
"udon-v2","profile-1080-small60","Render Textures Count","720","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"udon-v2","profile-1080-small60","Draw Calls Count","720","2.3403","0.0000","5.0000","0.0000","5.0000","5.0000","0.0000"
"udon-v2","profile-1080-small60","SetPass Calls Count","720","2.3403","0.0000","5.0000","0.0000","5.0000","5.0000","0.0000"
"udon-v2","profile-1080-small60","Batches Count","720","2.3403","0.0000","5.0000","0.0000","5.0000","5.0000","0.0000"
"udon-v2","profile-1080-small60","Gfx.UpdateAsyncReadbackData","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","Gfx.RequestAsyncReadbackData","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","RadeonRaysJobCompositeLightmap.ReleaseReadbackEvents","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","RadeonRaysJobCompositeLightmap.WaitForReadbacks","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","RadeonRaysJobCompositeLightmap.ReadbackOutput","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","GPULightmapper.Lightprobes.IntegrateFromAsyncReadBack","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","GPULightmapper.Lightprobes.UpdateFromAsyncReadBack","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","GPULightmapper.Lightprobes.ApplyUpdateFromAsyncReadBacks","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","GPULightmapper.Lightprobes.TryUpdateFromAsyncReadBacks","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","GPULightmapper.Lightmap.UpdateFromAsyncReadBack","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","BakeJobUpdateFromAsyncReadback.Execute","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","IssueUpdateFromAsyncReadBackJobs","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","VFX.ParticleSystem.BatchReadbackCount","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","VFX.ParticleSystem.BatchReadbackBounds","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","Terrain.ReadbackHeightmap","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","ClothScene.ReadbackJob","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","Gfx.ReadbackImage","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","GC.Collect","720","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","Main Thread","720","5951456.8056","52300.0000","13349100.0000","0.0000","14536400.0000","0.0000","47700.0000"
"udon-v2","profile-1080-small60","Graphics.Blit","720","30632.5000","0.0000","76100.0000","0.0000","107200.0000","0.0000","0.0000"
"udon-v2","profile-1080-small60","EarlyUpdate.UpdateAsyncReadbackManager","720","261558.3333","0.0000","614500.0000","0.0000","925800.0000","0.0000","0.0000"
"udon-v2","profile-4k-small30","GC Allocated In Frame","283","34392.5194","5103.0000","228021.0000","24.0000","3974295.0000","3974295.0000","24.0000"
"udon-v2","profile-4k-small30","GC Used Memory","283","805299536.5088","805187584.0000","806023168.0000","804958208.0000","806199296.0000","804958208.0000","806199296.0000"
"udon-v2","profile-4k-small30","GC Reserved Memory","283","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000","1494638592.0000"
"udon-v2","profile-4k-small30","Total Used Memory","283","1425406986.5088","1425295034.0000","1426130618.0000","1425065658.0000","1426306746.0000","1425065658.0000","1426306746.0000"
"udon-v2","profile-4k-small30","Total Reserved Memory","283","2472744175.0000","2472744175.0000","2472744175.0000","2472744175.0000","2472744175.0000","2472744175.0000","2472744175.0000"
"udon-v2","profile-4k-small30","Gfx Used Memory","283","325682415.0000","325682415.0000","325682415.0000","325682415.0000","325682415.0000","325682415.0000","325682415.0000"
"udon-v2","profile-4k-small30","Render Textures Bytes","283","299524440.0000","299524440.0000","299524440.0000","299524440.0000","299524440.0000","299524440.0000","299524440.0000"
"udon-v2","profile-4k-small30","Render Textures Count","283","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"udon-v2","profile-4k-small30","Draw Calls Count","283","4.8940","5.0000","5.0000","0.0000","5.0000","5.0000","0.0000"
"udon-v2","profile-4k-small30","SetPass Calls Count","283","4.8940","5.0000","5.0000","0.0000","5.0000","5.0000","0.0000"
